Longitude,Latitude
-121.0240222,21.62096835
-120.9161274,21.64805343
-120.8081636,21.67502295
-120.700131,21.70187676
-120.5920297,21.72861468
-120.4838601,21.75523655
-120.3756224,21.78174221
-120.2673169,21.80813149
-120.1589437,21.83440424
-120.0505031,21.86056028
-119.9419954,21.88659946
-119.8334209,21.91252162
-119.7247797,21.9383266
-119.6160721,21.96401423
-119.5072983,21.98958436
-119.3984587,22.01503683
-119.2895535,22.04037148
-119.1805829,22.06558815
-119.0715472,22.0906867
-118.9624466,22.11566695
-118.8532814,22.14052877
-118.7440518,22.16527199
-118.6347581,22.18989646
-118.5254007,22.21440202
-118.4159796,22.23878853
-118.3064953,22.26305583
-118.1969479,22.28720377
-118.0873377,22.31123221
-117.977665,22.33514098
-117.86793,22.35892995
-117.7581331,22.38259896
-117.6482744,22.40614786
-117.5383544,22.42957651
-117.4283731,22.45288477
-117.3183309,22.47607248
-117.2082281,22.49913951
-117.098065,22.5220857
-116.9878417,22.54491092
-116.8775587,22.56761502
-116.7672161,22.59019785
-116.6568143,22.61265928
-116.5463535,22.63499917
-116.435834,22.65721738
-116.3252561,22.67931376
-116.21462,22.70128818
-116.1039261,22.7231405
-115.9931746,22.74487058
-115.8823659,22.76647828
-115.7715001,22.78796348
-115.6605777,22.80932603
-115.5495988,22.8305658
-115.4385637,22.85168266
-115.3274729,22.87267647
-115.2163264,22.8935471
-115.1051247,22.91429442
-114.993868,22.9349183
-114.8825567,22.95541861
-114.7711909,22.97579522
-114.6597711,22.99604799
-114.5482975,23.01617681
-114.4367703,23.03618155
-114.32519,23.05606207
-114.2135568,23.07581825
-114.1018709,23.09544997
-113.9901328,23.1149571
-113.8783426,23.13433953
-113.7665008,23.15359712
-113.6546075,23.17272975
-113.5426632,23.19173731
-113.430668,23.21061967
-113.3186224,23.22937671
-113.2065266,23.24800831
-113.0943809,23.26651437
-112.9821857,23.28489474
-112.8699413,23.30314933
-112.7576478,23.32127802
-112.6453058,23.33928068
-112.5329154,23.35715721
-112.4204771,23.37490748
-112.307991,23.3925314
-112.1954576,23.41002884
-112.0828771,23.4273997
-111.9702499,23.44464386
-111.8575762,23.46176121
-111.7448565,23.47875164
-111.6320909,23.49561506
-111.5192799,23.51235134
-111.4064237,23.52896038
-111.2935227,23.54544207
-111.1805772,23.56179632
-111.0675875,23.57802301
-110.9545539,23.59412204
-110.8414768,23.61009331
-110.7283565,23.62593672
-110.6151933,23.64165216
-110.5019875,23.65723953
-110.3887395,23.67269874
-110.2754497,23.68802968
-110.1621182,23.70323226
-110.0487455,23.71830638
-109.9353319,23.73325195
-109.8218777,23.74806886
-109.7083832,23.76275702
-109.5948488,23.77731634
-109.4812749,23.79174672
-109.3676617,23.80604808
-109.2540096,23.82022031
-109.1403189,23.83426333
-109.0265899,23.84817705
-108.9128231,23.86196138
-108.7990187,23.87561623
-108.685177,23.88914151
-108.5712985,23.90253714
-108.4573834,23.91580302
-108.3434321,23.92893908
-108.229445,23.94194523
-108.1154223,23.95482138
-108.0013644,23.96756746
-107.8872717,23.98018337
-107.7731445,23.99266905
-107.6589832,24.0050244
-107.544788,24.01724935
-107.4305594,24.02934382
-107.3162976,24.04130773
-107.2020031,24.053141
-107.0876762,24.06484356
-106.9733172,24.07641534
-106.8589265,24.08785625
-106.7445044,24.09916623
-106.6300513,24.11034519
-106.5155675,24.12139308
-106.4010534,24.13230981
-106.2865093,24.14309532
-106.1719356,24.15374953
-106.0573326,24.16427238
-105.9427008,24.17466381
-105.8280403,24.18492373
-105.7133517,24.19505209
-105.5986352,24.20504882
-105.4838912,24.21491385
-105.3691201,24.22464713
-105.2543222,24.23424858
-105.1394979,24.24371815
-105.0246476,24.25305578
-104.9097715,24.2622614
-104.79487,24.27133495
-104.6799436,24.28027638
-104.5649926,24.28908563
-104.4500172,24.29776264
-104.335018,24.30630735
-104.2199952,24.31471972
-104.1049493,24.32299967
-103.9898805,24.33114717
-103.8747893,24.33916215
-103.7596759,24.34704457
-103.6445408,24.35479438
-103.5293844,24.36241152
-103.4142069,24.36989594
-103.2990088,24.3772476
-103.1837904,24.38446645
-103.0685521,24.39155244
-102.9532942,24.39850552
-102.8380172,24.40532566
-102.7227214,24.4120128
-102.6074071,24.4185669
-102.4920747,24.42498792
-102.3767246,24.43127582
-102.2613571,24.43743055
-102.1459727,24.44345209
-102.0305717,24.44934038
-101.9151544,24.45509539
-101.7997212,24.46071708
-101.6842726,24.46620542
-101.5688088,24.47156036
-101.4533302,24.47678188
-101.3378372,24.48186994
-101.2223303,24.48682451
-101.1068096,24.49164556
-100.9912757,24.49633305
-100.8757289,24.50088695
-100.7601695,24.50530723
-100.644598,24.50959387
-100.5290146,24.51374684
-100.4134199,24.51776611
-100.297814,24.52165165
-100.1821976,24.52540344
-100.0665708,24.52902145
-99.95093403,24.53250566
-99.83528774,24.53585605
-99.71963226,24.5390726
-99.60396797,24.54215528
-99.48829524,24.54510408
-99.37261444,24.54791897
-99.25692595,24.55059994
-99.14123015,24.55314696
-99.0255274,24.55556003
-98.90981809,24.55783913
-98.79410258,24.55998424
-98.67838125,24.56199535
-98.56265448,24.56387245
-98.44692264,24.56561551
-98.33118611,24.56722454
-98.21544525,24.56869952
-98.09970046,24.57004044
-97.98395209,24.5712473
-97.86820054,24.57232008
-97.75244616,24.57325877
-97.63668935,24.57406338
-97.52093047,24.5747339
-97.40516989,24.57527032
-97.28940801,24.57567263
-97.17364518,24.57594084
-97.05788179,24.57607495
-96.94211821,24.57607495
-96.82635482,24.57594084
-96.71059199,24.57567263
-96.59483011,24.57527032
-96.47906953,24.5747339
-96.36331065,24.57406338
-96.24755384,24.57325877
-96.13179946,24.57232008
-96.01604791,24.5712473
-95.90029954,24.57004044
-95.78455475,24.56869952
-95.66881389,24.56722454
-95.55307736,24.56561551
-95.43734552,24.56387245
-95.32161875,24.56199535
-95.20589742,24.55998424
-95.09018191,24.55783913
-94.9744726,24.55556003
-94.85876985,24.55314696
-94.74307405,24.55059994
-94.62738556,24.54791897
-94.51170476,24.54510408
-94.39603203,24.54215528
-94.28036774,24.5390726
-94.16471226,24.53585605
-94.04906597,24.53250566
-93.93342924,24.52902145
-93.81780244,24.52540344
-93.70218595,24.52165165
-93.58658014,24.51776611
-93.47098538,24.51374684
-93.35540205,24.50959387
-93.23983051,24.50530723
-93.12427114,24.50088695
-93.0087243,24.49633305
-92.89319039,24.49164556
-92.77766975,24.48682451
-92.66216277,24.48186994
-92.54666981,24.47678188
-92.43119125,24.47156036
-92.31572745,24.46620542
-92.20027879,24.46071708
-92.08484563,24.45509539
-91.96942835,24.44934038
-91.85402731,24.44345209
-91.73864288,24.43743055
-91.62327543,24.43127582
-91.50792533,24.42498792
-91.39259294,24.4185669
-91.27727864,24.4120128
-91.16198279,24.40532566
-91.04670575,24.39850552
-90.9314479,24.39155244
-90.8162096,24.38446645
-90.70099121,24.3772476
-90.5857931,24.36989594
-90.47061564,24.36241152
-90.35545918,24.35479438
-90.2403241,24.34704457
-90.12521075,24.33916215
-90.0101195,24.33114717
-89.89505072,24.32299967
-89.78000475,24.31471972
-89.66498198,24.30630735
-89.54998275,24.29776264
-89.43500743,24.28908563
-89.32005638,24.28027638
-89.20512996,24.27133495
-89.09022853,24.2622614
-88.97535245,24.25305578
-88.86050207,24.24371815
-88.74567776,24.23424858
-88.63087987,24.22464713
-88.51610876,24.21491385
-88.40136478,24.20504882
-88.2866483,24.19505209
-88.17195967,24.18492373
-88.05729924,24.17466381
-87.94266736,24.16427238
-87.8280644,24.15374953
-87.7134907,24.14309532
-87.59894662,24.13230981
-87.4844325,24.12139308
-87.36994871,24.11034519
-87.2554956,24.09916623
-87.1410735,24.08785625
-87.02668278,24.07641534
-86.91232379,24.06484356
-86.79799686,24.053141
-86.68370236,24.04130773
